Account Type: Admin | Username: joe
Insert | HCP | HCP Inc | 22.31 | +0.39 | +1.78% |   | http://money.cnn.com/quote/quote.html?symb=HCP | 04/25/2018
Insert | SNPS | Synopsys Inc | 84.04 | +1.44 | +1.74% |   | http://money.cnn.com/quote/quote.html?symb=SNPS | 04/25/2018
Insert | FCX | Freeport-McMoRan Inc | 16.08 | -2.73 | -14.51% |   | http://money.cnn.com/quote/quote.html?symb=FCX | 04/25/2018
Insert | INCY | Incyte Corp | 62.35 | -5.79 | -8.50% |   | http://money.cnn.com/quote/quote.html?symb=INCY | 04/25/2018
Insert | MAS | Masco Corp | 36.16 | -3.29 | -8.34% |   | http://money.cnn.com/quote/quote.html?symb=MAS | 04/25/2018
Insert | WAT | Waters Corp | 193.18 | -16.42 | -7.83% |   | http://money.cnn.com/quote/quote.html?symb=WAT | 04/25/2018
Insert | MMM | 3M Co | 201.13 | -14.75 | -6.83% |   | http://money.cnn.com/quote/quote.html?symb=MMM | 04/25/2018
Insert | PCAR | PACCAR Inc | 64.92 | -4.49 | -6.47% |   | http://money.cnn.com/quote/quote.html?symb=PCAR | 04/25/2018
Insert | CAT | Caterpillar Inc | 144.44 | -9.55 | -6.20% |   | http://money.cnn.com/quote/quote.html?symb=CAT | 04/25/2018
Insert | LMT | Lockheed Martin Corp | 336.49 | -22.11 | -6.17% |   | http://money.cnn.com/quote/quote.html?symb=LMT | 04/25/2018
Insert | ALK | Alaska Air Group Inc | 65.26 | -3.85 | -5.57% |   | http://money.cnn.com/quote/quote.html?symb=ALK | 04/25/2018
Insert | DE | Deere & Co | 138.11 | -7.93 | -5.43% |   | http://money.cnn.com/quote/quote.html?symb=DE | 04/25/2018
Update | PHM | PulteGroup Inc  | 29.65 | +0.83 | +2.88% | -10.83% | http://money.cnn.com/quote/quote.html?symb=PHM | 04/25/2018
Update | PHM | phm.jpg | C:\Users\Joe\workspace\stockScreener/phm.jpg | 04/25/2018
Account Type: Admin | Username: joe
Insert | BAC | Bank of America Corp | 30.19 | -0.13 | -0.43% |   | http://money.cnn.com/quote/quote.html?symb=BAC | 04/26/2018
Insert | FCX | Freeport-McMoRan Inc | 16.08 | -2.73 | -14.51% |   | http://money.cnn.com/quote/quote.html?symb=FCX | 04/26/2018
Insert | GE | General Electric Co | 14.68 | +0.16 | +1.10% |   | http://money.cnn.com/quote/quote.html?symb=GE | 04/26/2018
Insert | MU | Micron Technology Inc | 47.11 | -1.91 | -3.90% |   | http://money.cnn.com/quote/quote.html?symb=MU | 04/26/2018
Insert | AMD | Advanced Micro Devices Inc | 10.09 | +0.05 | +0.50% |   | http://money.cnn.com/quote/quote.html?symb=AMD | 04/26/2018
